epoch,train_loss,test_loss,train_auc,test_auc
1,0.26247531989276657,0.22694287296044754,0.883456797146162,0.9128922274734824
2,0.24296321581375785,0.2229728830135082,0.8983264003308968,0.9163086153736264
3,0.235898681779439,0.22235153566439336,0.9023161585808831,0.9149150605349936
4,0.2320203949010205,0.21471476963413952,0.9045315018183376,0.9198547636337663
5,0.22773855298520398,0.20759615471804133,0.9075981635168485,0.920609040368567
6,0.22464079086687494,0.20841027056672892,0.9078207515893505,0.9202826156831467
7,0.222170137846366,0.21198874533633746,0.9098714239843888,0.9211072487232296
8,0.2199540576640292,0.2060375793409063,0.911012384450878,0.9223449720836656
9,0.21796664787416162,0.20867493386362113,0.9135601619765734,0.9226568731324627
10,0.2161634618403018,0.2074758330879309,0.913487887070588,0.9213799835716242
11,0.2156097567659655,0.20950245339953788,0.9139663954244757,0.9216690277496697
12,0.21436292246780236,0.20486107629684944,0.9145442139764066,0.9220285472791991
13,0.21264863962836228,0.2018797512147941,0.9158823896446585,0.922934726967536
14,0.2116175062358718,0.20548882965135046,0.9161912207838824,0.9242151879144296
15,0.2107690584757261,0.19719965826824803,0.9163206603472609,0.9245158986202545
16,0.20927165019417315,0.19980390170447762,0.917588527793634,0.9245025654456495
17,0.20673126192335017,0.20317846855747324,0.9193778119963174,0.923422102117832
18,0.20834999790964998,0.19806368890625742,0.9182120430886083,0.9249708932036523
19,0.2068419167007538,0.19434598755450302,0.91917665460713,0.9258954060070714
20,0.2049468315858288,0.19148901323934753,0.9208264056591703,0.9264853989833454
21,0.20553386987000985,0.1909095526757854,0.9194309786112814,0.928892275091963
22,0.2033013182230274,0.19424678685821636,0.920478174693729,0.9274137212652229
23,0.20373416460483035,0.19727883418197828,0.9204283946558813,0.9271018202164258
24,0.2026168807477109,0.19248339125770642,0.9212603520085275,0.9265351602957106
25,0.20260170678967732,0.1895047505290104,0.9205916044489687,0.9282865680170473
26,0.20046812158646843,0.1924314023385369,0.9221046650761219,0.9289591790573922
27,0.2004378230350855,0.1911603126989301,0.9222115789041233,0.9280389519172392
28,0.19965693969964168,0.19519562357425282,0.9222123682235295,0.9272268187283486
29,0.19943159716334385,0.18680937177384907,0.9224778088434493,0.929809168938465
30,0.19939263444076258,0.18854255796190214,0.9227869809921745,0.9292758419542626
31,0.19820300653243705,0.19486881440659415,0.9231132829888661,0.9284560898084547
32,0.19761384449794736,0.19623389891956164,0.9233215618911299,0.9287694194116736
33,0.1976657647601399,0.18849361228414407,0.9237740623910689,0.9290315591481055
34,0.19798523151612543,0.1898574172078496,0.9237489393979815,0.928784657325508
35,0.1971078586526421,0.1895686490253211,0.9236625375854571,0.9277582409733217
