epoch,train_loss,test_loss,train_auc,test_auc
1,0.37014477940593177,0.2634979322692419,0.7384089437385033,0.8988383471625339
2,0.23349830908033828,0.20704427121138838,0.9059873419330933,0.9244935179343103
3,0.2082395665728716,0.19636366190507892,0.9189377215964624,0.9277753836263853
4,0.1968289771696391,0.18721981131918697,0.923900828263573,0.9294603635671004
5,0.19060413588534345,0.1928989815894905,0.9258818127212565,0.9289884644230425
6,0.18765812119149314,0.182837431256017,0.9272747395227587,0.9308751086296592
7,0.18514561996332576,0.18252305191801027,0.9282602172950759,0.9322098546445876
8,0.18353420407110743,0.1782227415054757,0.9297354479156125,0.9324486613254603
9,0.18261789287658928,0.17864532315212747,0.9300068782498334,0.9318149783931143
10,0.18098166258712753,0.17858380690051873,0.9309747367079604,0.9325915167676576
11,0.1799528429485849,0.18767102625465557,0.9314203846807656,0.9301010702253544
12,0.1793410120774011,0.1816159171521511,0.931704261861784,0.9321441411411769
13,0.1786780148261806,0.17719176525959884,0.9319119219493924,0.9333957929072273
14,0.1775196041594224,0.1784295191443688,0.932595976719928,0.9292798895251247
15,0.17724106130460168,0.1862366681208696,0.9323782024668951,0.9323029487744194
16,0.17649947659660578,0.17585855303721254,0.9330454169535667,0.9327650861299271
17,0.176342360710908,0.17940717616451163,0.9326337244139065,0.9326824680658563
18,0.1753275495557543,0.18378310098875716,0.9333701902869763,0.9329093701265461
19,0.1747451643344804,0.17347726258881968,0.9337773188848197,0.9330869870596777
20,0.1742751443338647,0.1824402274886259,0.9343274847999057,0.932336281710932
21,0.17367158609725797,0.17781342946863135,0.9345347480230085,0.9324619945000655
22,0.17353426626614885,0.17328880960272605,0.9345943115058589,0.9327415149819644
23,0.1730321968999854,0.17601560379639714,0.9348316864558742,0.9323924715181962
24,0.17273760098496727,0.17364629087342429,0.9350900217312714,0.9336691229866313
25,0.17250414701766614,0.1752852710616558,0.93504169539341,0.933184723991381
26,0.1712734445904118,0.17746413376020348,0.9357931700941429,0.932378662158784
27,0.1715541444176772,0.1751875442210569,0.9357971402090697,0.9325991357245748
28,0.1709540811897047,0.17261241352263415,0.9362413697587336,0.9335548386328735
29,0.17034300205810543,0.17632145164161286,0.9361476876873303,0.9310489160843324
30,0.17001529303677562,0.18124862064790848,0.936701673790752,0.9318567636099571
31,0.1696032995005908,0.17577735559613097,0.9366258565015849,0.9309146319686671
32,0.16926896358900514,0.17405223561877992,0.936480917174451,0.9325469934881727
33,0.16873193644650644,0.17504300050824906,0.9374351984568732,0.9322277115748623
34,0.16849239443052264,0.17372806476713346,0.9370234809294478,0.9322000928560373
35,0.1684791036540245,0.17371155404678695,0.9371314795204317,0.9318598588112044
36,0.16800196405250314,0.1745988556694395,0.9376590623752679,0.932783419245009
37,0.16773350547551658,0.17396730221141024,0.9373893282693423,0.9317746217306937
38,0.16718862225280742,0.1735027162213663,0.9380027940731079,0.9316362900441663
39,0.1665855680227099,0.17677552390078247,0.9383121573047432,0.9326805633266271
40,0.16691422395269814,0.17956371892748588,0.9380028469883754,0.932766514684349
41,0.1661320356860356,0.17929906400979734,0.9384576757600818,0.9322393781026417
42,0.16591010817036161,0.173173655370109,0.9390954722977918,0.932272234854347
43,0.16587499560800273,0.17592849999742435,0.9387395847871252,0.9319195009583219
44,0.16528341925112575,0.17651576507020383,0.9391469867805169,0.9315296246473256
45,0.16535366682244684,0.17551978023664014,0.9391725948302226,0.930937250747015
